DangerType: Flood
CeilingDrips: 0.7173913
RainIntensity: 1
RumbleIntensity: 1
WaveSpeed: 0.5652174
WaveLength: 1
WaveAmplitude: 0.08695652
SecondWaveLength: 0.1775363
SecondWaveAmplitude: 0
Clouds: 0.75
Grime: 0
BkgDroneVolume: 0.2769565
BkgDroneNoThreatVolume: 0
RandomItemDensity: 0.5543478
RandomItemSpearChance: 0.2
WaterReflectionAlpha: 1
Palette: 45
EffectColorA: 18
EffectColorB: 21
Effects: LightBurn-0.1543478-24-74, WaterDepth-1-312-22, BrokenZeroG-0.02173913-20-20, RockFlea-0.09782609-26-136, ElectricDeath-1-20-20, 
AmbientSounds: OMNI><SO_IND-HeatDuct.ogg><814.3127><644.0601><0.6847826><0.2369565, OMNI><SO_SFX-DeepLake.ogg><810.313><560.1791><0.25><1.03913, OMNI><SO_SFX-LakeBottom.ogg><810.9991><476.7><0.3695652><1, OMNI><SO_SFX-Heartbeat1.ogg><809.8287><400.6467><0.75><0.45, OMNI><MSC-HeavyCreaking.ogg><438.8279><645.0658><0.1847823><0.3934778, OMNI><MSC-UnrelentingBreakage.ogg><624.9498><647.2405><0.2065217><0.3152174, OMNI><MSC-StructureStrain.ogg><625.3441><563.3235><0.6195652><0.1195652, OMNI><AM_IND-SuperStructure.ogg><98.44861><429.4763><0.25><0.9021739, 
