DangerType: Flood
CeilingDrips: 0.7173913
RainIntensity: 1
RumbleIntensity: 1
WaveSpeed: 0
WaveLength: 1
WaveAmplitude: 0
SecondWaveLength: 0.1666667
SecondWaveAmplitude: 0
Clouds: 0.3913043
Grime: 0
BkgDroneVolume: 0.2552172
BkgDroneNoThreatVolume: 0
RandomItemDensity: 0.5543478
RandomItemSpearChance: 0.2
WaterReflectionAlpha: 1
Palette: 45
EffectColorA: 18
EffectColorB: 7
Effects: ElectricDeath-1-20-20, BorderPushBack-1-5-79, RockFlea-0.25-14-126, Darkness-0.7065217-20-20, BrokenZeroG-0.01086957-23-69, 
AmbientSounds: OMNI><AM_IND-SuperStructure.ogg><20.80548><457.9536><0.09782609><1, OMNI><AM_ENV-SubTerr.ogg><17.81799><528.1671><0.2608696><1, OMNI><AM_WIN-SubWnd.ogg><21.30286><380.7162><0.1630435><1, OMNI><MSC-HeavyCreaking.ogg><438.8279><645.0658><0.0847823><0.4913039, OMNI><MSC-UnrelentingBreakage.ogg><624.9498><647.2405><0.2043478><0.3152174, OMNI><MSC-StructureStrain.ogg><625.3441><563.3235><0.4195652><0.1, 
