DangerType: Rain
CeilingDrips: 0.7173913
RainIntensity: 1
RumbleIntensity: 1
WaveSpeed: 0.75
WaveLength: 0.5
WaveAmplitude: 0
SecondWaveLength: 0.1666667
SecondWaveAmplitude: 0
Clouds: 0.07
Grime: 0.3586957
BkgDroneVolume: 0
BkgDroneNoThreatVolume: 1
RandomItemDensity: 0.5
RandomItemSpearChance: 0.2
WaterReflectionAlpha: 0.5108696
Palette: 4
EffectColorA: 18
EffectColorB: 6
Effects: RockFlea-0.1195652-20-20, HeatWave-0.1521739-276-22, Flies-0.3913043-22-77, SilenceWater-0-20-133, Fog-0.5869565-270-139, 
AmbientSounds: OMNI><SO_WAT-DripTap.ogg><654.481><639.9491><0.2173913><1, OMNI><SO_WAT-LilDrips.ogg><481.129><636.8472><0.2173913><1, OMNI><SO_IND-HeatDuct.ogg><819.5117><569.3004><0.2282609><1, OMNI><AM_IND-Utility02.ogg><837.3013><645.9775><0.326087><1, 
