DangerType: Flood
CeilingDrips: 0.5
RainIntensity: 1
RumbleIntensity: 1
WaveSpeed: 0.75
WaveLength: 0.5
WaveAmplitude: 0
SecondWaveLength: 0.1666667
SecondWaveAmplitude: 0
Clouds: 0.1956522
Grime: 0.4021739
BkgDroneVolume: 0.3
BkgDroneNoThreatVolume: 1
RandomItemDensity: 0.3804348
RandomItemSpearChance: 0.2
WaterReflectionAlpha: 1
Palette: 72
EffectColorA: 2
EffectColorB: 13
AmbientSounds: OMNI><AM_ENV-SubTerr.ogg><763.8018><635.4734><0.3369565><1, OMNI><AM_WIN-SubWnd.ogg><763.4661><556.0529><0.326087><0.8434783, 
