DangerType: Rain
CeilingDrips: 0.5
RainIntensity: 1
RumbleIntensity: 1
WaveSpeed: 0.75
WaveLength: 0.5
WaveAmplitude: 0
SecondWaveLength: 0.1666667
SecondWaveAmplitude: 0
Clouds: 0.2065217
Grime: 0.4130435
BkgDroneVolume: 0.3
BkgDroneNoThreatVolume: 1
RandomItemDensity: 0.5
RandomItemSpearChance: 0.2
WaterReflectionAlpha: 1
Palette: 72
EffectColorA: 2
EffectColorB: 13
AmbientSounds: OMNI><AM_ENV-NatWind.ogg><861.0718><633.5908><0.3913043><1, OMNI><SO_WAT-LilDrips.ogg><685.4499><629.9937><0.2608696><1, 
