DangerType: Rain
CeilingDrips: 0.4
RainIntensity: 1
RumbleIntensity: 1
WaveSpeed: 0.5
WaveLength: 0.8
WaveAmplitude: 0
SecondWaveLength: 0.1666667
SecondWaveAmplitude: 0
Clouds: 0.01
Grime: 0.09
BkgDroneVolume: 0.2
BkgDroneNoThreatVolume: 1
RandomItemDensity: 0.5
RandomItemSpearChance: 0.2
WaterReflectionAlpha: 1
Palette: 457
EffectColorA: 10
EffectColorB: 9
Effects: ModifyEffectColorA-0.9414991,0.09959213,0.5-996.735-450, SkyBloom-0.1847826-20-20, SilenceWater-0.7978261-232-246, WaterGlowworm-1-349-301, RockFlea-0.08695652-236-148, Moth-0.06521739-37-93, 
AmbientSounds: OMNI><am_ind-fabrik01.ogg><714.3172><173.4188><0.2173913><0.3152174, OMNI><am_env-subterr.ogg><723.6906><369.1894><0.3369565><0.4913043, 
