DangerType: FloodAndRain
CeilingDrips: 0.4
RainIntensity: 1
RumbleIntensity: 1
WaveSpeed: 0.5
WaveLength: 0.8
WaveAmplitude: 0
SecondWaveLength: 0.1666667
SecondWaveAmplitude: 0
Clouds: 0.01
Grime: 0.07
BkgDroneVolume: 0.2
BkgDroneNoThreatVolume: 1
RandomItemDensity: 0.5
RandomItemSpearChance: 0.2
WaterReflectionAlpha: 1
Palette: 460
EffectColorA: 10
EffectColorB: 9
Effects: ModifyEffectColorA-0.9414991,0.09959213,0.5-996.735-450, SkyBloom-1-20-20, SilenceWater-0.7978261-232-246, WaterGlowworm-1-349-301, RockFlea-0.08695652-236-148, Moth-0.04521739-37-93, 
AmbientSounds: OMNI><am_ind-fabrik01.ogg><711.6619><172.8674><0.1413043><0.3152174, OMNI><am_ind-warehouse01.ogg><749.5643><337.0742><0.2608696><0.2369565, 

