DangerType: Sandstorm
TerrainLight: 0.162327
TerrainStainAmount: 0
TerrainStainBrightness: 0
TerrainStainHeight: 0
TerrainWaves: 0.4480883
TerrainEdgeRadius: 61.48071
TerrainGooHeight: 1
TerrainGrain: 0.2526046
TerrainDepth: -0.1301771
TerrainSkyFade: 1
TerrainPalette: torrid_desert
CeilingDrips: 0
RainIntensity: 1
RumbleIntensity: 0
WaveSpeed: 0.75
WaveLength: 0.5
WaveAmplitude: 0
SecondWaveLength: 0.1666667
SecondWaveAmplitude: 0
Clouds: 0.1321739
Grime: 0.09782609
BkgDroneVolume: 0.3
BkgDroneNoThreatVolume: 1
RandomItemDensity: 0.5
RandomItemSpearChance: 0.2
WaterReflectionAlpha: 1
Palette: 335
EffectColorA: 14
EffectColorB: 13
Effects: SandPuffs-1-308.7701-166, 
AmbientSounds: OMNI><AM_IND-Fabrik01.ogg><754.2758><252.9507><0.2078121><0.1234319, OMNI><AM_ENV-LightWind.ogg><733.7541><516.3052><0.1320582><0.7272894, 
WetTerrain: OFF
