DangerType: Sandstorm
CeilingDrips: 0
RainIntensity: 0
RumbleIntensity: 0
WaveSpeed: 0.75
WaveLength: 0.5
WaveAmplitude: 0
SecondWaveLength: 0.1666667
SecondWaveAmplitude: 0
Clouds: 0
Grime: 0.1491304
BkgDroneVolume: 0.3
BkgDroneNoThreatVolume: 1
RandomItemDensity: 0.5
RandomItemSpearChance: 0.2
WaterReflectionAlpha: 1
Palette: 333
EffectColorA: 9
EffectColorB: 9
Effects: SandPuffs-1-308.7701-166, LightBurn-0.02782609-237-169, 
AmbientSounds: OMNI><AM_IND-Fabrik02.ogg><765.454><234.7488><0.1212364><0.8636453, OMNI><AM_IND-Warehouse01.ogg><756.2313><415.9549><0.1753454><0.3961413, 
WetTerrain: OFF
