DangerType: Flood
CeilingDrips: 0.75
RainIntensity: 1
RumbleIntensity: 1
WaveSpeed: 0.5120703
WaveLength: 0.7439649
WaveAmplitude: 0.04946124
SecondWaveLength: 0.1666667
SecondWaveAmplitude: 0
Clouds: 1
Grime: 0.06712706
BkgDroneVolume: 0.3
BkgDroneNoThreatVolume: 1
RandomItemDensity: 0.5
RandomItemSpearChance: 0.2
WaterReflectionAlpha: 0.6
Palette: 452
EffectColorA: 6
EffectColorB: 7
Effects: SilenceWater-0.5-20-20, Flies-0.0216436-30-30, RockFlea-0.2164365-325.7394-279, 
AmbientSounds: OMNI><RWTW_AmbDrips_01.ogg><48.47023><533.4843><0.5><1, OMNI><RWTW_AmbInterior.ogg><227.6703><532.6956><0.3513359><1, OMNI><RWTW_AmbDrips_02.ogg><404.5619><532.0023><0.5><1, 
