
Room Setting Templates: default, cc-inside, cc-outside, cl-darksun, cl-pitchblack, dm-conflux, dm-itterator, dm-leg, dm-underhang, dm-wall, ds-inside, gw-inside, gw-outside, hi-inside, hi-outside, hr-end, hr-hell, hr-hellnew, hr-hellupper, lc-inside, lc-outside, lc-tower, lf-farms, lf-underground, lm-fog, lm-itterator, lm-leg, lm-sewer, lm-wall, ms-aerie, ms-array, ms-artery, ms-comp, ms-deep, ms-mech, ms-sewers, ms-surface, ms-vents, oe-cave, oe-ruins, oe-ruinsinside, oe-swamp, rm-amnesia, rm-corrupt, rm-dead, rm-linear, rm-lympathic, sb-subway, sh-darksun, sh-pitchblack, si-inside, si-outside, sl-fog, sl-sewer, ss-corrupt, su-inside, su-outside, ug-inside, uw-leg, uw-underhang, uw-wall, vs-filter, vs-pipes, vs-sewer, vs-surface, warc-cistern, warc-glassfields, warc-roottunnels, wbla-badlandssurface, wdsr-rot, wgwr-rot, whir-rot, wpta-spireinside, wpta-spireoutside, wrra-inside, wrra-insideship, wrra-outside, wrra-outsideship, wskb-inside, wskb-outside, wskc-inside, wskc-outside, wskd-inside, wskd-outside, wssr-calcified, wsur-rot, wtda-desert, wtdb-tract, wvwa-pillars, wvwa-waterways
Subregion: Outskirts
Subregion: Industrial Complex
Subregion: Drainage System
Subregion: Garbage Wastes
Subregion: Shoreline
Subregion: Shaded Citadel
Subregion: The Exterior
Subregion: Five Pebbles
Subregion: Chimney Canopy
Subregion: Sky Islands
Subregion: Farm Arrays
Subregion: Subterranean
Subregion: Outer Expanse
Subregion: Pipeyard
Subregion: Submerged Superstructure
Subregion: Metropolis
Subregion: The Rot
Subregion: Silent Construct
Subregion: Looks to the Moon
Subregion: Waterfront Facility
Subregion: Undergrowth
Subregion: Rubicon
Subregion: Aether Ridge
Subregion: Fetid Glen
Subregion: Ancient Urban
Subregion: Badlands
Subregion: Rotten World
Subregion: Outer Rim
Subregion: Signal Spires
Subregion: Coral Caves
Subregion: Rusted Wrecks
Subregion: Daemon
Subregion: Stormy Coast
Subregion: Torrid Desert
Subregion: Desolate Tract
Subregion: Verdant Waterways
Room_Attr: Default: 100kHI-Forbidden, 100kCC-Forbidden, 100kSI-Forbidden, 100kLF-Forbidden, 100kGW-Forbidden,100kSL-Forbidden,100kLM-Forbidden,
Room_Attr: 100K_CC_alduris_1: GreenLizard-Forbidden,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,CicadaA-Avoid,CicadaB-Avoid,Scavenger-Avoid,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_CC_alduris_2: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Scavenger-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Forbidden,ZoopLizard-Forbidden,HunterDaddy-Forbidden,TerrorLongLegs-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_CC_dragonpropaganda_1: PinkLizard-Like,BlueLizard-Like,WhiteLizard-Like,YellowLizard-Avoid,CyanLizard-Like,RedLizard-Like,Scavenger-Forbidden,MirosBird-Forbidden,SmallNeedleWorm-Like,BigNeedleWorm-Like,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Like,ZoopLizard-Like,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_CC_gamerguy35_1: PinkLizard-Like,BlueLizard-Like,WhiteLizard-Like,CyanLizard-Like,RedLizard-Like,Scavenger-Like,MirosBird-Forbidden,DropBug-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Like,ZoopLizard-Like,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_CC_hobart_1: CicadaA-Avoid,CicadaB-Avoid,Scavenger-Avoid,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_CC_javadog64_1: YellowLizard-Forbidden,CicadaA-Avoid,CicadaB-Avoid,Scavenger-Forbidden,Vulture-Avoid,KingVulture-Avoid,MirosBird-Forbidden,SmallNeedleWorm-Like,BigNeedleWorm-Like,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_CC_nimble102_1: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,CicadaA-Avoid,CicadaB-Avoid,Scavenger-Forbidden,MirosBird-Forbidden,SmallNeedleWorm-Like,BigNeedleWorm-Like,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_CC_rbor_1: PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,CicadaA-Avoid,CicadaB-Avoid,Scavenger-Forbidden,Vulture-Avoid,KingVulture-Avoid,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,DropBug-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,HunterDaddy-Forbidden,TerrorLongLegs-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
